item_code,division,product_name
1216D,PTMT & Plastic Fittings,
1216DMATT,PTMT & Plastic Fittings,
1217D,PTMT & Plastic Fittings,
1218D,PTMT & Plastic Fittings,
1218DMATT,PTMT & Plastic Fittings,
1220D,PTMT & Plastic Fittings,
1220DMATT,PTMT & Plastic Fittings,
1222D,PTMT & Plastic Fittings,
1222DMATT,PTMT & Plastic Fittings,
1223D,PTMT & Plastic Fittings,
1224D,PTMT & Plastic Fittings,
1224SD,PTMT & Plastic Fittings,
1224SDMAT,PTMT & Plastic Fittings,
1224XD,PTMT & Plastic Fittings,
1224XDMATT,PTMT & Plastic Fittings,
1225D,PTMT & Plastic Fittings,
1225DMATT,PTMT & Plastic Fittings,
1226D,PTMT & Plastic Fittings,
1226DMATT,PTMT & Plastic Fittings,
1230D,PTMT & Plastic Fittings,
1230DMATT,PTMT & Plastic Fittings,
1232DMAT,PTMT & Plastic Fittings,
1239D,PTMT & Plastic Fittings,
1239DMATT,PTMT & Plastic Fittings,
1240-DMATT,PTMT & Plastic Fittings,
1240D,PTMT & Plastic Fittings,
1242D,PTMT & Plastic Fittings,
1242DMATT,PTMT & Plastic Fittings,
1244D,PTMT & Plastic Fittings,
1244DMATT,PTMT & Plastic Fittings,
1250D,PTMT & Plastic Fittings,
1250DMATT,PTMT & Plastic Fittings,
1250SD,PTMT & Plastic Fittings,
1250SDMATT,PTMT & Plastic Fittings,
1250XD,PTMT & Plastic Fittings,
1250XDMATT,PTMT & Plastic Fittings,
1252D,PTMT & Plastic Fittings,
1252DMATT,PTMT & Plastic Fittings,
1316D,PTMT & Plastic Fittings,
1318D,PTMT & Plastic Fittings,
1324-D,PTMT & Plastic Fittings,
1324-XD,PTMT & Plastic Fittings,
1324D,PTMT & Plastic Fittings,
1332D,PTMT & Plastic Fittings,
1339D,PTMT & Plastic Fittings,
1342D,PTMT & Plastic Fittings,
1344D,PTMT & Plastic Fittings,
1350D,PTMT & Plastic Fittings,
1352-D,PTMT & Plastic Fittings,
322 K,PTMT & Plastic Fittings,"P.V.C. Connection (Single Piece Packing) 15""/375mm"
323 K,PTMT & Plastic Fittings,"P.V.C. Connection (Single Piece Packing) 18""/450mm"
324 K,PTMT & Plastic Fittings,"P.V.C. Connection (Single Piece Packing) 24""/600mm"
325 K,PTMT & Plastic Fittings,"P.V.C. Connection (Single Piece Packing) 30""/750mm"
326 K,PTMT & Plastic Fittings,"P.V.C. Connection (Single Piece Packing) 36""/900mm"
348 K,PTMT & Plastic Fittings,"P.V.C. Connection (Single Piece Packing) 48""/1200mm"
6691,CP Fittings / Faucets,Single Lever Concealed Diverter Bath & Shower 40mm
6692,CP Fittings / Faucets,Single Lever High Flow Concealed Diverter Bath & Shower 46mm
6692-ON-OFF,CP Fittings / Faucets,Single Lever High Flow Concealed Diverter Bath & Shower 46mm (ON-OFF)
6693,CP Fittings / Faucets,Single Lever 3 In Let Concealed Diverter Bath & Shower 46mm
6693-ON-OFF,CP Fittings / Faucets,Single Lever 3 In Let Concealed Diverter Bath & Shower 46mm (ON-OFF)
6891,CP Fittings / Faucets,Single Lever Concealed Diverter Bath & Shower 40mm
6892,CP Fittings / Faucets,Single Lever High Flow Concealed Diverter Bath & Shower 46mm
6892-ON-OFF,CP Fittings / Faucets,Single Lever High Flow Concealed Diverter Bath & Shower 46mm (ON-OFF)
6893,CP Fittings / Faucets,Single Lever 3 In Let Concealed Diverter Bath & Shower 46mm
6893-ON-OFF,CP Fittings / Faucets,Single Lever 3 In Let Concealed Diverter Bath & Shower 46mm (ON-OFF)
7191,CP Fittings / Faucets,Single Lever Concealed Diverter Bath & Shower 40mm
7192,CP Fittings / Faucets,Single Lever High Flow Concealed Diverter Bath & Shower 46mm
7192-ON-OFF,CP Fittings / Faucets,Single Lever High Flow Concealed Diverter Bath & Shower 46mm (ON-OFF)
7193,CP Fittings / Faucets,Single Lever 3 In Let Concealed Diverter Bath & Shower 46mm
7193-ON-OFF,CP Fittings / Faucets,Single Lever 3 In Let Concealed Diverter Bath & Shower 46mm (ON-OFF)
7691,CP Fittings / Faucets,Single Lever Concealed Diverter Bath & Shower 40mm
7692,CP Fittings / Faucets,Single Lever High Flow Concealed Diverter Bath & Shower 46mm
7692-ON-OFF,CP Fittings / Faucets,Single Lever High Flow Concealed Diverter Bath & Shower 46mm (ON-OFF)
7693,CP Fittings / Faucets,Single Lever 3 In Let Concealed Diverter Bath & Shower 46mm
7693-ON-OFF,CP Fittings / Faucets,Single Lever 3 In Let Concealed Diverter Bath & Shower 46mm (ON-OFF)
7891,CP Fittings / Faucets,Single Lever Concealed Diverter Bath & Shower 40mm
7892,CP Fittings / Faucets,Single Lever High Flow Concealed Diverter Bath & Shower 46mm
7892-ON-OFF,CP Fittings / Faucets,Single Lever High Flow Concealed Diverter Bath & Shower 46mm (ON-OFF)
7893,CP Fittings / Faucets,Single Lever 3 In Let Concealed Diverter Bath & Shower 46mm
7893-ON-OFF,CP Fittings / Faucets,Single Lever 3 In Let Concealed Diverter Bath & Shower 46mm (ON-OFF)
7991 F,CP Fittings / Faucets,Single Lever Concealed Diverter Bath & Shower 40mm
7991 F-N,CP Fittings / Faucets,Single Lever Concealed Diverter Bath & Shower 40mm
7992 F,CP Fittings / Faucets,Single Lever High Flow Concealed Diverter Bath & Shower 46mm
7992 F-N,CP Fittings / Faucets,Single Lever High Flow Concealed Diverter Bath & Shower 46mm
7992 F-ON-OFF,CP Fittings / Faucets,Single Lever High Flow Concealed Diverter Bath & Shower 46mm (ON-OFF)
7992 F-ON-OFF-N,CP Fittings / Faucets,Single Lever High Flow Concealed Diverter Bath & Shower 46mm (ON-OFF)
7993 F,CP Fittings / Faucets,Single Lever 3 In Let Concealed Diverter Bath & Shower 46mm
7993 F-N,CP Fittings / Faucets,Single Lever 3 In Let Concealed Diverter Bath & Shower 46mm
7993 F-ON-OFF,CP Fittings / Faucets,Single Lever 3 In Let Concealed Diverter Bath & Shower 46mm (ON-OFF)
7993 F-ON-OFF-N,CP Fittings / Faucets,Single Lever 3 In Let Concealed Diverter Bath & Shower 46mm (ON-OFF)
816D,PTMT & Plastic Fittings,
816DM,PTMT & Plastic Fittings,
818D,PTMT & Plastic Fittings,
818DM,PTMT & Plastic Fittings,
8191,CP Fittings / Faucets,Single Lever Concealed Diverter Bath & Shower 40mm
8192,CP Fittings / Faucets,Single Lever High Flow Concealed Diverter Bath & Shower 46mm
8192-ON-OFF,CP Fittings / Faucets,Single Lever High Flow Concealed Diverter Bath & Shower 46mm (ON-OFF)
8193,CP Fittings / Faucets,Single Lever 3 In Let Concealed Diverter Bath & Shower 46mm
8193-ON-OFF,CP Fittings / Faucets,Single Lever 3 In Let Concealed Diverter Bath & Shower 46mm (ON-OFF)
820D,PTMT & Plastic Fittings,
820DM,PTMT & Plastic Fittings,
822D,PTMT & Plastic Fittings,
822DMATT,PTMT & Plastic Fittings,
824D,PTMT & Plastic Fittings,
824DMATT,PTMT & Plastic Fittings,
824SD,PTMT & Plastic Fittings,
824SDM,PTMT & Plastic Fittings,
824XD,PTMT & Plastic Fittings,
824XDM,PTMT & Plastic Fittings,
839D,PTMT & Plastic Fittings,
839DM,PTMT & Plastic Fittings,
840D,PTMT & Plastic Fittings,
840DM,PTMT & Plastic Fittings,
842D,PTMT & Plastic Fittings,
842DM,PTMT & Plastic Fittings,
850D,PTMT & Plastic Fittings,
850DM,PTMT & Plastic Fittings,
850XD,PTMT & Plastic Fittings,
850XDM,PTMT & Plastic Fittings,
852-D,PTMT & Plastic Fittings,
852DM,PTMT & Plastic Fittings,
8791,CP Fittings / Faucets,Single Lever Concealed Diverter Bath & Shower 40mm
8792,CP Fittings / Faucets,Single Lever High Flow Concealed Diverter Bath & Shower 46mm
8792-ON-OFF,CP Fittings / Faucets,Single Lever High Flow Concealed Diverter Bath & Shower 46mm (ON-OFF)
8793,CP Fittings / Faucets,Single Lever 3 In Let Concealed Diverter Bath & Shower 46mm
8793-ON-OFF,CP Fittings / Faucets,Single Lever 3 In Let Concealed Diverter Bath & Shower 46mm (ON-OFF)
9091,CP Fittings / Faucets,Single Lever Concealed Diverter Bath & Shower 40mm
